title,author,length
The Lies I Tell,Julie Clark,Length: 9 hrs and 12 mins
"Solar Dragons Need Love, Too! 1",Virgil Knightley,Length: 10 hrs and 38 mins
Paladin of the Shield,Marvin Knight,Length: 22 hrs and 57 mins
Mars System Reboot,Dave Willmarth,Length: 15 hrs and 33 mins
The Poet's House,Jean Thompson,Length: 10 hrs and 9 mins
Kiss Me Forever,Layla Hagen,Length: 7 hrs and 19 mins
Mothercare,Lynne Tillman,Length: 4 hrs and 15 mins
Superpowers Unlocked,Justin Trublood,Length: 10 hrs and 20 mins
Dirty Minds,Liliana Hart,Length: 4 hrs and 48 mins
Five Oh: Mid-Century Meltdown,Margaret Lashley,Length: 6 hrs and 46 mins
Honor,Thrity Umrigar,Length: 11 hrs and 19 mins
MeatEater's Campfire Stories: Narrow Escapes & More Close Calls,"Steven Rinella,Clay Newcomb,Vince Merritt,Allen Jone,Kimi Werner,Roy Getson,Casey Frank,Cory Holloway,Cameron Kirkconnell,Bruce Batten,Vic Barnes",Length: 5 hrs and 4 mins
The Housemaid,Freida McFadden,Length: 9 hrs and 41 mins
Always,Loren Leigh,Length: 8 hrs and 34 mins
Altered Destinies,Mark Tufo,Length: 11 hrs and 44 mins
Monsters and How to Tame Them,"Kevin Hart,Neil Strauss",Length: 5 hrs and 37 mins
God of the Sands,Chris Fox,Length: 20 hrs and 45 mins
The Tip of the Sword,Phil Ward,Length: 10 hrs and 44 mins
Baby for the Bosshole,Nadia Lee,Length: 10 hrs and 40 mins
Unrestricted Warfare,"Qiao Liang,Wang Xiangsui",Length: 7 hrs and 32 mins
The Montessori Baby,"Simone Davies,Junnifa Uzodike",Length: 10 hrs and 51 mins
Unlock Your Potential,Jeff Lerner,Length: 12 hrs and 42 mins
The New Rules of Aging Well,"Frank Lipman MD,Danielle Claro",Length: 4 hrs and 34 mins
I'm Glad My Mom Died,Jennette McCurdy,Length: 6 hrs and 50 mins
Ten Trends to Seduce Your Bestfriend,Penny Reid,Length: 15 hrs and 55 mins
The Girl on Wildfire Ridge,Leslie Wolfe,Length: 12 hrs and 2 mins
Oath of Loyalty,"Vince Flynn,Kyle Mills",Length: 9 hrs and 23 mins
How to Be a Boss B*tch,"Christine Quinn,Rachel Holtzman",Length: 7 hrs and 43 mins
Noble Roots,Drew Hayes,Length: 23 hrs and 36 mins
Darius,J.R. Ward,Length: 6 hrs and 57 mins
The Butcher and the Wren,Alaina Urquhart,Length: 7 hrs
Misfit,Elle Kennedy,Length: 12 hrs and 37 mins
Dangerous Gamble,Daniel Schinhofen,Length: 12 hrs and 47 mins
The Inmate,Freida McFadden,Length: 8 hrs and 5 mins
Crucial Conversations (Third Edition),"Joseph Grenny,Kerry Patterson,Ron McMillan,Al Switzler,Emily Gregory",Length: 7 hrs and 45 mins
The Metaverse,Matthew Ball,Length: 13 hrs and 38 mins
The Father Daughter Talk,R.C. Blakes Jr.,Length: 2 hrs and 41 mins
Selling from Your Comfort Zone,Stacey Hall,Length: 3 hrs and 59 mins
Mindreader,David J. Lieberman,Length: 6 hrs and 33 mins
Husband Material,Alexis Hall,Length: 13 hrs and 35 mins
Hacked,"Lucy Lennox,May Archer",Length: 11 hrs and 14 mins
The Final Solution,Mark Goodwin,Length: 7 hrs and 4 mins
Marriage Is Murder,Aimee Nicole Walker,Length: 8 hrs and 52 mins
It Starts with Us,Colleen Hoover,Length: Not Yet Known
